uid,device_id,registerdate,lastpaydate,lastlogtime
391597941679244,09f4d431-0849-467e-b5f4-d29a730da2d5,1456018879,,1461445325
653930247101644,,1456020335,,1457758646
358372074677635,,1456023857,,1459516413
838158574296514,,1456024715,,1457353664
549764407322071,,1456025580,,1459410683
565093143551557,33252263-c6f0-495a-8e29-3c09d724ad74,1456028351,,1466273287
469611727644256,dc4ca138-f925-4ef5-8cbf-3cd5529ff689,1456030216,,1462129582
592787092676229,2af40185-486f-49b3-8a15-06e801d6f510,1456030764,,1461582902
568821175164602,,1456033369,,1458108395
792606151155413,85692ef9-c5f7-4872-8003-d759a49a6b56,1456034515,,1461474566
415666938406845,89f0db18-bb07-4441-8d32-bae577553e1d,1456047848,,1467465194
480331966015503,0ffb1e57-6fc8-4de4-a78e-9f6c3394034c,1456051082,1464442361,1468381384
584566525272143,2ecf6cd6-c67d-47a3-8887-e56b2230f01c,1456052920,,1460884891
414326908610666,3d869588-82ed-4338-9432-afba9840ed21,1456053623,,1463849876
563400926437661,a7fc9f54-0fcf-4099-969b-5363e3da57aa,1456057741,1463053862,1464565031
623221230936363,b15e7529-6fd6-4b9b-80cf-c77b89ad4026,1456058010,1461297738,1468326514
674889687507455,6ce0b545-7337-4381-86a5-d14e352eca9e,1456061763,1464350316,1468367416
457723258170359,454cf130-7bb8-4f35-bdc5-2e6cd5e9ce31,1456067957,1465576953,1468339747
356516648807458,cba020c9-5cf0-4567-ac4b-108bde95a89c,1456068516,1466280503,1468362641
370303493827630,a2eb11e0-b0ee-4894-b839-0c25b9146abc,1456068711,,1468371745
594032633193545,5c2244d8-e8dd-4181-8619-296b9fc7e126,1456069695,,1461593271
366730081037449,e64bc659-b0fa-4c2c-b326-38e7f65a1860,1456070076,,1464027261
589076240934093,475e4faa-d909-4fb1-9b0b-7bf594177582,1456071487,,1464461565
794538886440163,2da3cbea-9a7f-499c-be10-80e24bf5aeea,1456071796,1462322510,1464497921
484807321939256,,1456072452,,1458157914
306274121379235,,1456073787,,1457194234
454201384988162,,1456075294,,1457881400
718706943862332,9490c035-4fd8-4a9c-bbcf-71d6bc17782b,1456076255,,1462887829
706088329946689,a0472b34-f465-42c9-9b58-2e69b99b0295,1456076318,,1467550789
596472174618185,,1456076397,,1459087179
690497598662414,45be5413-ac6c-41ff-8286-2367fc4c385c,1456079744,1461480708,1465251153
726231726565183,,1456080624,,1457094458
553990655143929,,1456082867,,1457980652
654016146450354,b8732a31-fcf8-4f23-bd37-2eb5e4bdfca3,1456082885,1461261937,1464146071
611659178977267,58719091-257a-4260-b197-90e0327e3981,1456083866,,1457290760
771208624089248,d1171ce9-c3ab-4a21-a432-755d6af80c36,1456086488,,1458850461
298714978939380,00cb4845-66f2-4dc3-ac9f-35845f41afc1,1456089989,,1468085572
445766069220025,e8ce3eb4-e3ea-4180-b69e-7e1c11b1c363,1456092574,,1457277066
361241112834832,dcbd4998-8d5c-4f3e-911f-c6ac349e505a,1456093916,,1457541727
649523610659559,9a642d1e-1fab-484a-b0c8-50c637287396,1456095408,1468377275,1468381493
703330960943885,c554c433-998f-4fac-adf6-f6172b3088cb,1456096074,,1460296980
511848436036546,82218fce-de53-48d9-9a60-70e19f089963,1456096472,,1457128404
444898485826506,93c456a8-0faa-4812-b658-6b2547bba8e9,1456096571,,1459022196
481508787057735,d95e1391-8f61-4608-af2e-02fe19038109,1456098554,,1460835019
482221751628898,d0d5130f-b162-49e4-b112-6b4e95d20909,1456098751,,1458091600
661506569415693,96bd5ff0-e2ed-4b6e-8ab5-2847fcc1d631,1456099653,,1459705474
839893741087768,76cf8637-d657-4639-8135-c5767dc8591d,1456099765,,1459227305
613308446420023,4989d367-a504-4d7c-aef2-f98f6f973209,1456100135,1461460115,1468249202
464543666238716,8695c734-e16f-4ad7-b8d3-025a9e0503d4,1456101019,,1457981618
744528287247523,47375589-5be6-4b47-b187-f2ef2503ebb0,1456101593,,1458530525
610001321602473,5371280c-99bd-4b08-b611-2c8664482454,1456105415,,1461777352
552727934760660,03012344-6a29-4a97-b90d-c90277714449,1456108788,1461328904,1468314194
623255590958108,,1456109125,,1456719230
496618482055741,,1456109158,,1457327619
513016667191876,b5bd32ca-97f0-4278-bbaf-5a730b754571,1456109306,,1468302582
600595343504538,98390645-485c-4e7c-afc4-0beb8ccaf917,1456112114,,1464028807
415306161208057,,1456114328,,1458022904
578338822976889,b3db3fc0-9c1e-40fc-9d4f-554f7ed57dea,1456125915,1468337643,1468380649
790115070408081,,1456128594,,1457262361
572420358043030,17331579-4223-49e7-86f6-d38913f788b3,1456129017,1464760381,1468350384
791936136541614,9e4b536b-2cf8-41ee-bc5f-1b81b7964be8,1456132799,1464949995,1465175809
651233007924671,,1456134506,,1457601723
484652703169547,,1456141219,,1459163812
